	index	tev_source_id	tev_common_name	tev_gamma_names	tev_fermi_names	tev_other_names	tev_where	tev_classes	tev_discoverer	tev_seen_by	tev_discovery_date	tev_tevcat_id	tev_tevcat2_id	tev_tevcat_name	tev_tgevcat_id	tev_tgevcat_name	tev_reference_id	tev_significance	tev_livetime	tev_ra	tev_dec	tev_glon	tev_glat	tev_pos_ra	tev_pos_dec	tev_pos_glon	tev_pos_glat	tev_pos_err	tev_morph_type	tev_morph_sigma	tev_morph_sigma_err	tev_morph_sigma2	tev_morph_sigma2_err	tev_morph_pa	tev_morph_pa_err	tev_morph_pa_frame	tev_spec_type	tev_spec_pl_norm	tev_spec_pl_norm_err	tev_spec_pl_norm_err_sys	tev_spec_pl_index	tev_spec_pl_index_err	tev_spec_pl_index_err_sys	tev_spec_pl_e_ref	tev_spec_pl2_flux	tev_spec_pl2_flux_err	tev_spec_pl2_flux_err_sys	tev_spec_pl2_index	tev_spec_pl2_index_err	tev_spec_pl2_index_err_sys	tev_spec_pl2_e_min	tev_spec_pl2_e_max	tev_spec_ecpl_norm	tev_spec_ecpl_norm_err	tev_spec_ecpl_norm_err_sys	tev_spec_ecpl_index	tev_spec_ecpl_index_err	tev_spec_ecpl_index_err_sys	tev_spec_ecpl_e_cut	tev_spec_ecpl_e_cut_err	tev_spec_ecpl_e_cut_err_sys	tev_spec_ecpl_e_ref	tev_spec_erange_min	tev_spec_erange_max	tev_spec_theta	tev_spec_dnde_1TeV	tev_spec_dnde_1TeV_err	tev_spec_flux_1TeV	tev_spec_flux_1TeV_err	tev_spec_flux_1TeV_crab	tev_spec_flux_1TeV_crab_err	tev_spec_eflux_1TeV_10TeV	tev_spec_eflux_1TeV_10TeV_err	tev_sed_reference_id	tev_sed_n_points	tev_sed_n_ul	tev_sed_e_ref	tev_sed_e_min	tev_sed_e_max	tev_sed_dnde	tev_sed_dnde_err	tev_sed_dnde_errp	tev_sed_dnde_errn	tev_sed_dnde_ul	tev_0.3TeV	tev_1TeV	tev_3TeV	tev_10TeV	tev_30TeV
0	0	1	b'CTA 1'	b'VER J0006+729'	b''	b'SNR G119.5+10.2'	b'gal'	b'pwn,snr'	b'veritas'	b'veritas'	b'2011-10'	227	b'rC5JCj'	b'TeV J0006+729'	1	b'TeV J0006+7259'	b'2013ApJ...764...38A'	7.5	41.25	1.649999976158142	72.78299713134766	119.58025360107422	10.203681945800781	1.6500346400388561	72.78300246202038	119.6039047241211	10.403316497802734	0.05999999865889549	b'gauss'	0.30000001192092896	0.029999999329447746	0.23999999463558197	0.029999999329447746	17.399999618530273	15.800000190734863	b'radec'	b'pl'	9.100000213004694e-14	1.29999999412783e-14	1.700000037930475e-14	2.200000047683716	0.20000000298023224	0.30000001192092896	3.0																			0.5600000023841858	18.0		1.0202536515277472e-12	2.6738846054842613e-13	8.502112859229416e-13	1.295647752497589e-13	4.098503112792969	0.6245760917663574	3.016234614502955e-12	4.314187353714194e-13	b'2013ApJ...764...38A'	6	0	"[ 0.78  1.39  2.47  4.39  7.81 13.89   nan   nan   nan   nan   nan   nan
   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
   nan   nan   nan   nan]"	"[ 0.56  1.    1.78  3.16  5.62 10.     nan   nan   nan   nan   nan   nan
   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
   nan   nan   nan   nan]"	"[ 1.    1.78  3.16  5.62 10.   17.78   nan   nan   nan   nan   nan   nan
   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
   nan   nan   nan   nan]"	"[1.9e-12 7.3e-13 1.2e-13 3.4e-14 1.2e-14 7.1e-15     nan     nan     nan
     nan     nan     nan     nan     nan     nan     nan     nan     nan
     nan     nan     nan     nan     nan     nan     nan     nan     nan
     nan     nan     nan     nan     nan     nan     nan     nan     nan
     nan     nan     nan     nan]"	"[9.0e-13 1.7e-13 4.0e-14 1.2e-14 5.0e-15 2.5e-15     nan     nan     nan
     nan     nan     nan     nan     nan     nan     nan     nan     nan
     nan     nan     nan     nan     nan     nan     nan     nan     nan
     nan     nan     nan     nan     nan     nan     nan     nan     nan
     nan     nan     nan     nan]"	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan]"	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan]"	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan]"	1.3309355976554863e-12	2.0147537962535805e-12	1.1282723312094707e-12	1.53268068822709e-12	5.0675347049881634e-12
1	1	2	b'SHBL J001355.9-185406'	b'HESS J0013-189'	b''	b''	b'egal'	b'hbl'	b'hess'	b'hess'	b'2010-11'	213	b'70hRXZ'	b'TeV J0013-188'	2	b'TeV J0013-1853'	b'2013A&A...554A..72H'	5.5	41.5	3.483558416366577	-18.90184783935547	74.63201141357422	-78.0869369506836	3.483564191574319	-18.901846221900108	74.61251068115234	-78.06826782226562	0.006180165335536003	b'point'							b''	b'pl'	1.160000047406573e-12	2.299999925757523e-13	2.299999925757523e-13	3.4000000953674316	0.5	0.20000000298023224	0.5099999904632568																						1.1754295182585944e-13	4.5926295806717615e-14	4.89762310568187e-14	2.8403867528403043e-14	0.23609334230422974	0.13692283630371094	1.2916230585080513e-13	8.729060090853155e-14	b'2013A&A...554A..72H'	3	0	"[0.4452   0.949698 2.121         nan      nan      nan      nan      nan
      nan      nan      nan      nan      nan      nan      nan      nan
      nan      nan      nan      nan      nan      nan      nan      nan
      nan      nan      nan      nan      nan      nan      nan      nan
      nan      nan      nan      nan      nan      nan      nan      nan]"	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan]"	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan]"	"[1.90700e-12 1.46200e-13 8.40099e-15         nan         nan         nan
         nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan]"	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan]"	"[4.16499e-13 6.69353e-14 9.78648e-15         nan         nan         nan
         nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan]"	"[4.16499e-13 6.69353e-14 9.78648e-15         nan         nan         nan
         nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan]"	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan]"	1.0468143893078333e-12	1.9470572405524109e-13	3.526498121915887e-14	5.4218188400397835e-15	9.819965000794608e-16
2	2	3	b'Tycho SNR'	b'VER J0025+641'	b''	b'SNR G120.1+1.4,3C10,SN1572'	b'gal'	b'snr'	b'veritas'	b'veritas'	b'2010-05'	209	b'xCyAjF'	b'TeV J0025+641'	3	b'TeV J0025+6410'	b'2017ApJ...836...23A'	6.900000095367432	147.0	6.339700222015381	64.14080047607422	120.09236145019531	1.4129304885864258	6.3397230531816575	64.14080215316578	120.09140014648438	1.402172565460205	0.024494897574186325	b'point'							b''	b'pl'	2.20000002915631e-13	4.99999991225835e-14	5.99999989471002e-14	2.9200000762939453	0.41999998688697815	0.20000000298023224	1.0																			0.30000001192092896	10.0		2.20000002915631e-13	4.99999991225835e-14	1.1458333739298998e-13	3.614454249139046e-14	0.552357017993927	0.17423729598522186	3.3706693577766067e-13	1.3349919585591008e-13	b'2017ApJ...836...23A'	5	1	"[0.5242 0.9323 1.658  2.948  5.242  9.4       nan    nan    nan    nan
    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan
    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan
    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan]"	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan]"	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan]"	"[1.8299999e-12 2.2899998e-13 4.5599998e-14 6.6199996e-15 6.0499997e-15
           nan           nan           nan           nan           nan
           nan           nan           nan           nan           nan
           nan           nan           nan           nan           nan
           nan           nan           nan           nan           nan
           nan           nan           nan           nan           nan
           nan           nan           nan           nan           nan
           nan           nan           nan           nan           nan]"	"[6.4799999e-13 9.1000002e-14 2.1300000e-14 4.8999996e-15 2.4400000e-15
           nan           nan           nan           nan           nan
           nan           nan           nan           nan           nan
           nan           nan           nan           nan           nan
           nan           nan           nan           nan           nan
           nan           nan           nan           nan           nan
           nan           nan           nan           nan           nan
           nan           nan           nan           nan           nan]"	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan]"	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan]"	"[    nan     nan     nan     nan     nan 2.5e-15     nan     nan     nan
     nan     nan     nan     nan     nan     nan     nan     nan     nan
     nan     nan     nan     nan     nan     nan     nan     nan     nan
     nan     nan     nan     nan     nan     nan     nan     nan     nan
     nan     nan     nan     nan]"	1.9755932060255345e-12	3.010336331462195e-13	9.506755063428869e-14	8.749737904500848e-13	6.6313311994251895e-12
3	3	4	b'KUV 00311-1938'	b''	b''	b''	b'egal'	b'hbl'	b'hess'	b'hess'	b'2012-07'	239	b'PKJZqs'	b'TeV J0033-193'	4	b'TeV J0033-1921'	b''			8.393287658691406	-19.35920524597168	94.17464447021484	-81.21610260009766	8.393293004159593	-19.359206924141738				b'none'							b''	b'none'																																					b''	0	0	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan]"	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan]"	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan]"	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan]"	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan]"	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan]"	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan]"	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan]"	0.0	0.0	0.0	0.0	0.0
4	4	5	b'1ES 0033+595'	b''	b''	b''	b'egal'	b'hbl'	b'magic'	b'magic'	b'2011-10'	229	b'eNYfrm'	b'TeV J0035+598'	5	b'TeV J0035+5947'	b''			8.968975067138672	59.834495544433594	120.97542572021484	-2.9781200885772705	8.968984001110746	59.834498553895585				b'none'							b''	b'none'																																					b''	0	0	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan]"	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan]"	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan]"	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan]"	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan]"	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan]"	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan]"	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan]"	0.0	0.0	0.0	0.0	0.0
5	5	6	b'NGC 253'	b'HESS J0047-253'	b''	b''	b'egal'	b'galaxy'	b'hess'	b'hess'	b'2009-07'	195	b'sK2rQU'	b'TeV J0047-253'	6	b'TeV J0047-2517'	b''			11.88805866241455	-25.288799285888672	97.36385345458984	-87.96454620361328	11.888061642020121	-25.288797978695346				b'none'							b''	b'none'																																					b''	0	0	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan]"	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan]"	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan]"	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan]"	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan]"	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan]"	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan]"	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan]"	0.0	0.0	0.0	0.0	0.0
6	6	7	b'RGB J0136+391'	b''	b''	b'B3 0133+388,1RXS J013632.9+390556'	b'egal'	b'hbl'	b'magic'	b'magic'	b'2012-07'	244	b'7WhQrw'	b'TeV J0136+391'	7	b'TeV J0136+3905'	b''			24.135826110839844	39.09977722167969	132.4164581298828	-22.93984603881836	24.135831645018232	39.09977843750721				b'none'							b''	b'none'																																					b''	0	0	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan]"	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan]"	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan]"	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan]"	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan]"	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan]"	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan]"	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan]"	0.0	0.0	0.0	0.0	0.0
7	7	8	b'RGB J0152+017'	b'HESS J0152+017'	b''	b'RXJ0152.6+0147'	b'egal'	b'hbl'	b'hess'	b'hess'	b'2008-02'	156	b'tKGVcC'	b'TeV J0152+017'	8	b'TeV J0152+0146'	b'2008A&A...481L.103A'	6.599999904632568	14.699999809265137	28.1650447845459	1.7881617546081543	152.3774871826172	-57.54093551635742	28.16505367733267	1.7881609382577623	152.34323120117188	-57.56133270263672	0.025619635358452797	b'point'							b''	b'pl'	5.699999933855837e-13	1.599999971922672e-13	1.100000014578155e-13	2.950000047683716	0.36000001430511475	0.20000000298023224	1.0																						5.699999933855837e-13	1.599999971922672e-13	2.9230768196567003e-13	9.820682271956607e-14	1.4090896844863892	0.4734128713607788	8.534456778439004e-13	3.348848162752077e-13	b'2008A&A...481L.103A'	6	0	"[0.300783 0.472417 0.742005 1.16543  1.83048  2.87503       nan      nan
      nan      nan      nan      nan      nan      nan      nan      nan
      nan      nan      nan      nan      nan      nan      nan      nan
      nan      nan      nan      nan      nan      nan      nan      nan
      nan      nan      nan      nan      nan      nan      nan      nan]"	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan]"	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan]"	"[2.03400e-11 5.64453e-12 1.20330e-12 3.12379e-13 1.18590e-13 4.09739e-14
         nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan]"	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan]"	"[6.67400e-12 1.63431e-12 5.01840e-13 2.16139e-13 8.50021e-14 3.51119e-14
         nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan]"	"[6.67400e-12 1.63431e-12 5.01840e-13 2.16139e-13 8.50021e-14 3.51119e-14
         nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan]"	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan]"	2.9507200302069042e-12	7.895815435259081e-13	5.337926576515924e-13	3.4860996183700645e-13	2.3631938234547934e-13
8	8	9	b'3C 58'	b''	b''	b''	b'gal'	b'pwn'	b'magic'	b'magic'	b'2014-05'	252	b'2I2TuY'	b'TeV J0209+648'	9	b'TeV J0205+6451'	b'2014A&A...567L...8A'	5.699999809265137	99.0	31.404300689697266	64.82830047607422	130.7178192138672	3.083847999572754	31.404325081174658	64.82829854275982	130.70140075683594	3.1016318798065186	0.02500000037252903	b'point'							b''	b'pl'	1.99999996490334e-13	3.99999992980668e-14	5.99999989471002e-14	2.4000000953674316	0.20000000298023224	0.20000000298023224	1.0																						1.99999996490334e-13	3.99999992980668e-14	1.428571480945398e-13	3.5111531602105214e-14	0.6886528730392456	0.16925759613513947	4.821693174936192e-13	1.3481964568178018e-13	b''	0	0	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan]"	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan]"	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan]"	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan]"	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan]"	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan]"	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan]"	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan]"	0.0	0.0	0.0	0.0	0.0
9	9	10	b'S3 0218+35'	b''	b''	b'B2 0218+35'	b'egal'	b'blazar'	b'magic'	b'magic'	b'2014-07'	254	b'hJnA37'	b'TeV J0218+359'	10	b'TeV J0221+3556'	b''			35.27280044555664	35.93709945678711	142.60171508789062	-23.486858367919922	35.272806319967266	35.93710054317489				b'none'							b''	b'none'																																					b''	0	0	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan]"	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan]"	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan]"	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan]"	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan]"	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan]"	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan]"	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan]"	0.0	0.0	0.0	0.0	0.0
10	10	11	b'3C 66A'	b''	b''	b'B2 0218+35'	b'egal'	b'ibl'	b'crimea'	b'magic,veritas,crimea'	b'1998-03'	119	b'J01xzR'	b'TeV J0222+430'	11	b'TeV J0222+4302'	b'2011ApJ...726...58A'			35.6650505065918	43.0355224609375	140.14295959472656	-16.766897201538086	35.66506033147013	43.03552142511885				b'none'							b''	b'none'																																					b'2011ApJ...726...58A'	4	0	"[0.0774234 0.143067  0.264367  0.488509        nan       nan       nan
       nan       nan       nan       nan       nan       nan       nan
       nan       nan       nan       nan       nan       nan       nan
       nan       nan       nan       nan       nan       nan       nan
       nan       nan       nan       nan       nan       nan       nan
       nan       nan       nan       nan       nan]"	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan]"	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan]"	"[2.40002e-09 2.17000e-10 3.14000e-11 4.42001e-12         nan         nan
         nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan]"	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan]"	"[8.33004e-10 1.04000e-10 1.48000e-11 2.54001e-12         nan         nan
         nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan]"	"[8.33004e-10 1.04000e-10 1.48000e-11 2.54001e-12         nan         nan
         nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan]"	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan]"	3.0195528376417573e-12	7.178979777915876e-13	1.9354368257880848e-13	4.6014965065548567e-14	1.2405531242639828e-14
